                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     87,                 0.0236,               0.026419,               0.010261,                      0,                0.97997,                0.96824,                 0.9926,                0.85989,                0.96231,                 0.9506,                0.97285,                0.64926,               0.015436,               0.012539,               0.002635,                      0,                0.00613,                0.00613,                0.00613
                     88,               0.022972,               0.026734,               0.010632,                      0,                 0.9842,                0.96841,                0.99285,                0.85724,                0.96599,                0.95032,                0.96632,                0.63192,               0.015434,               0.012614,              0.0026672,                      0,               0.006085,               0.006085,               0.006085
                     89,               0.023673,               0.027801,               0.010712,                      0,                0.98587,                0.97408,                0.99321,                0.86912,                0.97303,                0.95523,                0.97325,                 0.6511,               0.015173,               0.012436,               0.002608,                      0,                0.00604,                0.00604,                0.00604
                     90,               0.023816,               0.027654,               0.010444,                      0,                0.98597,                0.96038,                0.99273,                0.86229,                0.97048,                0.94502,                 0.9766,                0.64991,               0.015457,               0.012694,              0.0026855,                      0,               0.005995,               0.005995,               0.005995
                     91,                0.02351,               0.026844,               0.010335,                      0,                0.98628,                0.97926,                0.99386,                0.87195,                 0.9733,                0.96513,                0.97613,                0.66089,               0.015098,               0.012502,              0.0026604,                      0,                0.00595,                0.00595,                0.00595
                     92,               0.023208,               0.026336,               0.010076,                      0,                0.97589,                0.98492,                0.99362,                 0.8635,                0.96188,                0.96327,                0.97423,                0.64881,               0.015319,               0.012559,              0.0026869,                      0,               0.005905,               0.005905,               0.005905
                     93,               0.023385,               0.026938,               0.010417,                      0,                0.98752,                0.97691,                0.99415,                0.86549,                0.96853,                0.95806,                0.97613,                 0.6589,               0.015092,               0.012377,              0.0025977,                      0,                0.00586,                0.00586,                0.00586
                     94,               0.022983,               0.026401,               0.010034,                      0,                0.98488,                 0.9826,                0.99421,                0.87032,                0.96924,                0.96324,                0.97913,                0.66798,               0.015209,               0.012357,               0.002553,                      0,               0.005815,               0.005815,               0.005815
                     95,               0.022654,               0.026934,               0.010519,                      0,                 0.9824,                0.97738,                0.99386,                0.86636,                0.96667,                0.95673,                0.97413,                0.65339,               0.015285,               0.012393,              0.0026036,                      0,                0.00577,                0.00577,                0.00577
                     96,                0.02303,               0.027706,               0.010432,                      0,                0.98387,                0.97761,                0.99335,                0.87156,                0.96955,                0.96277,                0.97592,                0.65677,               0.014858,               0.012293,              0.0025488,                      0,               0.005725,               0.005725,               0.005725
